# Structural Tees Cut from W Shapes - CISC Handbook of Steel Construction 11th Edition
"# Properties (Ix,Iy in 10^6 mm^4; Sx,Sy in 10^3 mm^3; J in 10^3 mm^4; Cw in 10^9 mm^6)"
"# Dimensions (d,b,t,w,beta_x,y0,r0bar in mm); Omega is dimensionless"
Designation,Dead_Load_kN_per_m,Area_mm2,Ix_10e6_mm4,Sx_10e3_mm3,rx_mm,y_mm,Iy_10e6_mm4,Sy_10e3_mm3,ry_mm,J_10e3_mm4,Cw_10e9_mm6,d_mm,b_mm,t_mm,w_mm,beta_x_mm,y0_mm,r0bar_mm,Omega
WT230x34,0.336,4360,21.8,128,70.6,59.2,4.7,61.1,32.8,253,0.323,230,154,15.4,9.1,165,51.5,93.4,0.696
WT230x30,0.292,3800,18.8,111,70.4,58.3,3.98,52.0,32.4,167,0.213,228,153,13.3,8.0,165,51.7,93.2,0.692
WT230x26,0.255,3320,16.7,102,71.0,60.8,3.17,41.7,30.9,104,0.16,225,152,10.8,7.6,165,55.4,95.2,0.661
WT205x74.5,0.732,9500,32.2,188,58.2,44.9,38.8,293,63.9,1600,2.79,216,265,25.0,14.9,118,32.4,92.3,0.877
WT205x66,0.648,8450,28.0,165,57.7,43.3,33.7,256,63.3,1120,1.92,213,263,22.2,13.3,117,32.2,91.5,0.876
WT205x57,0.561,7300,23.8,141,57.2,41.6,28.6,219,62.7,740,1.24,210,261,19.3,11.6,116,31.9,90.6,0.876
WT205x50,0.489,6350,20.3,121,56.6,39.8,24.8,191,62.5,495,0.81,208,260,16.9,10.0,116,31.4,90.0,0.878
WT205x42.5,0.417,5400,20.4,127,61.3,49.3,9.02,99.6,40.8,461,0.536,209,181,18.2,10.9,139,40.2,83.9,0.77
WT205x37,0.368,4740,17.8,112,61.1,48.2,7.79,86.6,40.4,317,0.366,207,180,16.0,9.7,139,40.2,83.6,0.768
WT205x33.5,0.331,4290,15.8,100,60.7,47.3,6.9,77.0,40.1,233,0.265,205,179,14.4,8.8,138,40.1,83.0,0.767
WT205x30,0.292,3800,13.9,87.8,60.5,46.1,6.02,67.7,39.9,163,0.18,204,178,12.8,7.7,138,39.7,82.6,0.769
WT205x27,0.262,3420,12.8,83.3,61.4,48.1,5.05,57.0,38.5,112,0.139,202,177,10.9,7.5,138,42.6,84.0,0.743
WT205x23,0.227,2940,11.5,76.3,62.4,51.5,2.57,36.7,29.5,95.6,0.099,202,140,11.2,7.0,146,45.9,82.9,0.694
WT205x19.5,0.192,2480,9.95,67.9,63.1,53.5,2.02,28.8,28.4,55.0,0.0675,200,140,8.8,6.4,147,49.1,84.9,0.665
WT180x543,5.34,69500,308,1570,66.7,88.2,981,4320,119,299000,1410,285,454,125,78.0,61.7,25.7,139,0.966
WT180x495,4.86,63000,259,1350,64.1,82.7,867,3870,117,232000,1060,275,448,115,71.9,58.4,25.2,136,0.966
WT180x450,4.43,57500,219,1160,61.7,77.5,767,3470,115,180000,791,266,442,106,65.9,55.5,24.5,133,0.966
WT180x409,4.02,52500,184,997,59.4,72.4,678,3100,114,138000,585,257,437,97.0,60.5,52.3,23.9,131,0.966
WT180x372,3.65,47400,156,864,57.4,67.9,600,2780,112,106000,434,249,432,88.9,55.6,49.6,23.5,128,0.967
WT180x338.5,3.33,43200,134,754,55.8,63.9,534,2500,111,81500,325,242,428,81.5,51.2,47.3,23.1,127,0.967
WT180x317,3.11,40300,119,677,54.3,61.0,491,2320,110,68300,266,237,424,77.1,47.6,45.4,22.4,125,0.968
WT180x296,2.91,37800,108,620,53.5,58.6,451,2140,109,56400,215,233,421,72.3,45.0,44.8,22.4,124,0.967
WT180x275.5,2.7,35200,95.9,557,52.3,55.8,412,1970,108,45900,172,228,418,67.6,42.0,42.8,22.0,122,0.968
WT180x254.5,2.5,32600,84.8,499,51.1,53.0,377,1810,108,36700,135,223,416,62.7,39.1,40.4,21.6,121,0.968
WT180x231.5,2.27,29500,73.8,439,50.0,50.1,335,1630,107,28100,100,218,412,57.4,35.8,39.3,21.4,120,0.968
WT180x210.5,2.07,26800,64.2,387,48.9,47.3,300,1470,106,21600,75.5,213,409,52.6,32.8,37.3,21.0,118,0.969
WT180x191,1.87,24400,55.4,338,47.7,44.5,268,1320,105,16300,56.0,208,406,48.0,29.8,35.1,20.5,117,0.969
WT180x173.5,1.7,22100,48.5,300,46.8,42.1,240,1190,104,12300,41.6,204,404,43.7,27.2,33.7,20.2,116,0.97
WT180x157,1.54,20000,42.6,266,46.2,39.9,213,1060,103,9210,30.3,200,401,39.6,24.9,32.7,20.1,115,0.969
WT180x143.5,1.41,18300,37.6,236,45.3,37.9,194,972,103,7220,23.5,197,399,36.6,22.6,31.5,19.6,114,0.97
WT180x131,1.29,16700,33.9,215,45.0,36.4,175,880,102,5500,17.6,194,398,33.3,21.1,30.5,19.8,113,0.97
WT180x118.5,1.16,15000,29.1,187,44.0,34.3,155,786,102,4080,12.8,190,395,30.2,18.9,28.6,19.2,112,0.971
WT180x108,1.06,13800,26.2,169,43.6,32.9,141,717,101,3150,9.79,188,394,27.7,17.3,28.2,19.0,112,0.971
WT180x98,0.964,12500,24.0,157,43.8,32.7,114,611,95.6,2560,7.17,186,374,26.2,16.4,37.2,19.6,107,0.966
WT180x89.5,0.879,11400,21.6,141,43.5,31.4,103,554,95.2,1950,5.4,184,373,23.9,15.0,36.7,19.5,106,0.966
WT180x81,0.794,10300,18.8,124,42.7,29.8,92.8,500,94.9,1470,4.0,182,371,21.8,13.3,36.3,18.9,106,0.968
WT180x73.5,0.723,9400,17.0,113,42.6,28.9,83.6,452,94.3,1110,2.98,180,370,19.8,12.3,35.8,19.0,105,0.967
WT180x67,0.657,8550,15.2,101,42.2,27.8,75.4,409,94.0,839,2.22,178,369,18.0,11.2,35.0,18.8,105,0.968
WT180x61,0.597,7750,17.3,118,47.2,35.5,30.7,239,62.9,1050,1.51,182,257,21.7,13.0,87.4,24.6,82.4,0.911
WT180x55,0.54,7050,15.0,102,46.2,33.5,27.8,218,63.0,799,1.12,180,256,19.9,11.4,86.4,23.6,81.6,0.916
WT180x50.5,0.497,6450,13.7,93.7,46.1,32.7,25.3,199,62.6,626,0.863,179,255,18.3,10.5,86.8,23.6,81.3,0.916
WT180x45.5,0.446,5750,12.1,83.5,45.8,31.7,22.4,176,62.2,456,0.617,177,254,16.4,9.5,86.3,23.5,80.8,0.915
WT180x39.5,0.388,5050,11.5,81.2,47.8,35.0,12.1,118,48.9,405,0.394,177,205,16.8,9.4,102,26.6,73.4,0.868
WT180x36,0.35,4550,10.3,73.1,47.5,34.2,10.7,105,48.5,300,0.286,175,204,15.1,8.6,102,26.7,73.0,0.866
WT180x32,0.314,4060,9.17,65.2,47.4,33.4,9.42,92.8,48.1,218,0.202,174,203,13.5,7.7,102,26.6,72.6,0.865
WT180x28.5,0.278,3620,9.7,69.4,51.9,39.2,5.56,64.7,39.3,166,0.15,179,172,13.1,7.9,116,32.6,72.8,0.799
WT180x25.5,0.248,3220,8.73,62.8,52.0,39.0,4.84,56.6,38.7,118,0.107,178,171,11.6,7.2,116,33.2,72.9,0.793
WT180x22.5,0.221,2860,7.96,58.6,52.7,40.2,4.09,47.8,37.8,79.4,0.0784,176,171,9.8,6.9,117,35.3,73.8,0.771
WT180x19.5,0.192,2480,7.28,54.7,54.0,43.8,1.88,29.3,27.4,74.9,0.0564,177,128,10.7,6.5,126,38.5,71.8,0.712
WT180x16.5,0.161,2100,6.19,47.6,54.5,44.8,1.45,22.9,26.4,42.6,0.0357,175,127,8.5,5.8,127,40.6,72.9,0.69
WT155x250,2.46,31800,79.7,513,50.0,58.7,247,1450,88.0,50100,130,214,340,75.1,45.1,56.3,21.1,103,0.958
WT155x227,2.23,28900,68.2,446,48.6,55.2,218,1300,86.8,38300,95.7,208,336,68.7,41.3,54.9,20.8,102,0.958
WT155x207.5,2.04,26400,59.6,397,47.4,52.2,195,1170,85.9,29500,71.9,202,334,62.7,38.9,52.7,20.8,100,0.957
WT155x187.5,1.84,23900,50.5,343,46.0,48.9,172,1040,84.8,22300,52.5,196,330,57.2,35.4,50.7,20.3,98.6,0.958
WT155x171,1.68,21800,43.8,302,44.8,46.1,155,946,84.2,17300,40.0,191,328,52.6,32.6,48.4,19.8,97.4,0.959
WT155x156.5,1.54,20000,38.5,269,43.9,43.8,139,852,83.3,13400,30.1,187,325,48.3,30.0,47.7,19.6,96.2,0.958
WT155x141.5,1.39,18000,33.1,233,42.8,41.1,123,764,82.6,10100,22.1,183,322,44.1,26.9,46.7,19.1,95.0,0.96
WT155x126.5,1.24,16200,28.1,202,41.8,38.6,107,673,81.6,7340,15.6,178,319,39.6,24.4,44.9,18.8,93.6,0.96
WT155x113,1.11,14400,24.3,176,41.0,36.4,94.6,597,81.0,5350,11.1,174,317,35.6,22.1,43.5,18.6,92.6,0.96
WT155x101,0.994,12800,21.3,156,40.7,34.6,82.9,527,80.1,3850,7.82,171,315,31.8,20.1,43.4,18.7,91.8,0.959
WT155x89.5,0.877,11400,18.2,135,39.9,32.5,71.9,459,79.4,2680,5.3,167,313,28.1,18.0,41.9,18.5,90.8,0.959
WT155x79,0.772,10000,15.2,114,38.9,30.3,62.4,402,78.9,1880,3.63,164,310,25.1,15.5,41.3,17.8,89.7,0.961
WT155x71.5,0.702,9100,13.5,101,38.4,28.9,56.3,365,78.6,1430,2.72,162,309,22.9,14.0,40.7,17.5,89.2,0.962
WT155x64.5,0.635,8250,12.0,91.8,38.2,27.9,50.2,326,78.0,1060,1.98,159,308,20.6,13.1,39.2,17.6,88.6,0.96
WT155x59,0.576,7500,10.7,82.0,37.8,26.8,45.1,294,77.6,798,1.46,157,307,18.7,11.9,38.5,17.4,88.1,0.961
WT155x53.5,0.525,6800,9.71,74.7,37.7,26.0,40.6,265,77.2,605,1.09,156,306,17.0,10.9,39.0,17.5,87.7,0.96
WT155x48.5,0.475,6150,8.59,66.6,37.3,25.0,36.4,239,76.9,454,0.804,154,305,15.4,9.9,38.2,17.3,87.2,0.961
WT155x43,0.423,5500,7.93,61.5,38.0,26.1,22.3,175,63.6,436,0.559,155,254,16.3,9.1,61.5,18.0,76.3,0.944
WT155x39.5,0.387,5050,7.38,58.1,38.3,26.1,20.0,157,63.0,327,0.413,153,254,14.6,8.8,60.9,18.8,76.1,0.939
WT155x37,0.363,4740,7.8,62.3,40.7,29.7,11.7,114,49.9,358,0.332,155,205,16.3,9.4,80.5,21.6,67.9,0.899
WT155x33.5,0.325,4260,6.88,55.3,40.3,28.8,10.3,101,49.5,260,0.236,153,204,14.6,8.5,79.9,21.5,67.4,0.898
WT155x30,0.29,3800,6.05,48.7,40.0,27.7,9.14,90.1,49.2,189,0.167,152,203,13.1,7.5,80.1,21.2,66.9,0.9
WT155x26,0.257,3320,6.66,52.9,44.7,33.1,5.13,61.4,39.2,154,0.118,159,167,13.2,7.6,98.0,26.5,65.1,0.835
WT155x22.5,0.219,2840,5.64,45.2,44.5,32.2,4.27,51.5,38.7,95.5,0.0723,157,166,11.2,6.6,97.7,26.6,64.7,0.831
WT155x19.5,0.19,2470,4.82,39.0,44.2,31.4,3.63,44.0,38.4,62.8,0.0468,155,165,9.7,5.8,97.0,26.5,64.3,0.83
WT155x16.5,0.161,2090,4.92,42.7,48.5,41.7,0.959,18.8,21.4,60.7,0.0371,157,102,10.8,6.6,114,36.3,64.3,0.681
WT155x14,0.139,1800,4.27,37.8,48.6,42.1,0.79,15.5,20.9,37.8,0.0257,155,102,8.9,6.0,113,37.6,64.9,0.664
WT155x12,0.117,1520,3.67,33.8,49.1,44.6,0.578,11.4,19.5,21.2,0.0185,153,101,6.7,5.6,115,41.3,67.1,0.621
WT155x10.5,0.104,1340,3.25,30.3,49.1,45.0,0.491,9.73,19.1,14.6,0.0136,152,101,5.7,5.1,115,42.2,67.5,0.609
WT125x83.5,0.821,10600,12.1,106,33.7,30.8,49.4,373,68.0,3140,4.58,145,265,31.8,19.2,34.3,14.9,77.4,0.963
WT125x74.5,0.73,9500,10.2,91.3,32.9,28.8,43.1,328,67.4,2250,3.19,141,263,28.4,17.3,32.5,14.6,76.4,0.963
WT125x65.5,0.643,8350,8.73,78.7,32.3,27.0,37.2,285,66.7,1560,2.15,138,261,25.1,15.4,31.9,14.5,75.6,0.963
WT125x57.5,0.563,7300,7.34,66.8,31.7,25.2,32.0,247,66.2,1060,1.43,135,259,22.1,13.5,31.0,14.2,74.7,0.964
WT125x50.5,0.496,6450,6.17,57.0,31.0,23.6,27.7,216,65.6,741,0.973,132,257,19.6,11.9,29.8,13.8,73.9,0.965
WT125x44.5,0.439,5700,5.39,50.2,30.7,22.5,24.2,189,65.1,517,0.664,130,256,17.3,10.7,29.5,13.9,73.4,0.964
WT125x40,0.393,5100,4.61,43.2,30.1,21.2,21.6,169,65.0,377,0.477,128,255,15.6,9.4,28.4,13.4,72.9,0.966
WT125x36.5,0.358,4640,4.17,39.2,30.0,20.5,19.4,153,64.6,287,0.356,127,254,14.2,8.6,28.7,13.4,72.5,0.966
WT125x33.5,0.33,4290,4.34,41.0,31.8,23.2,11.1,109,51.0,312,0.263,129,204,15.7,8.9,52.9,15.4,62.0,0.939
WT125x29,0.286,3710,3.68,35.5,31.5,22.2,9.42,92.8,50.4,204,0.167,126,203,13.5,8.0,51.6,15.5,61.4,0.937
WT125x24.5,0.241,3130,3.25,32.0,32.2,22.3,7.56,74.9,49.2,120,0.0949,124,202,11.0,7.4,52.3,16.8,61.1,0.925
WT125x22.5,0.22,2850,3.86,36.7,36.7,27.8,3.52,47.5,35.1,130,0.0741,133,148,13.0,7.6,78.6,21.3,55.1,0.851
WT125x19.5,0.19,2460,3.26,31.3,36.4,26.7,2.97,40.4,34.7,84.1,0.0467,131,147,11.2,6.6,78.1,21.1,54.5,0.85
WT125x16.5,0.16,2100,2.85,28.1,37.0,27.3,2.36,32.4,33.7,49.1,0.0284,129,146,9.1,6.1,78.3,22.7,54.9,0.829
WT125x14,0.14,1820,2.79,28.7,39.2,32.6,0.888,17.4,22.1,48.2,0.0216,130,102,10.0,6.4,90.0,27.6,52.9,0.727
WT125x12.5,0.124,1610,2.56,26.8,39.8,33.6,0.746,14.6,21.5,32.5,0.0166,129,102,8.4,6.1,90.7,29.4,53.9,0.702
WT125x11,0.11,1420,2.27,24.5,39.9,34.6,0.613,12.0,20.7,21.6,0.0126,127,102,6.9,5.8,90.6,31.1,54.7,0.676
WT125x9,0.0877,1140,1.83,20.0,40.1,34.8,0.457,9.04,20.0,11.2,0.0068,126,101,5.3,4.8,91.3,32.1,55.1,0.66
WT100x50,0.488,6350,4.61,50.6,27.0,23.9,18.3,174,53.7,1040,0.949,115,210,23.7,14.5,28.3,12.1,61.3,0.961
WT100x43,0.425,5500,3.8,42.8,26.2,22.2,15.7,150,53.3,694,0.617,111,209,20.6,13.0,25.9,11.9,60.6,0.961
WT100x35.5,0.35,4550,2.86,32.5,25.1,19.8,12.7,123,52.8,407,0.349,108,206,17.4,10.2,25.4,11.1,59.5,0.965
WT100x29.5,0.291,3780,2.39,27.7,25.1,18.7,10.2,99.5,52.0,231,0.191,105,205,14.2,9.1,24.7,11.6,58.9,0.961
WT100x26,0.256,3320,2.0,23.4,24.5,17.5,8.92,87.4,51.8,161,0.13,103,204,12.6,7.9,23.6,11.2,58.4,0.963
WT100x23,0.226,2940,1.79,21.1,24.7,17.0,7.67,75.6,51.2,110,0.0866,102,203,11.0,7.2,24.2,11.5,58.0,0.961
WT100x21,0.205,2660,1.78,21.2,25.9,18.8,4.5,54.2,41.2,111,0.0617,103,166,11.8,7.2,41.8,12.9,50.3,0.935
WT100x18,0.176,2280,1.48,17.7,25.4,17.7,3.82,46.3,40.9,72.5,0.0389,101,165,10.2,6.2,41.0,12.6,49.7,0.936
WT100x15.5,0.154,1980,1.63,19.4,28.5,21.1,2.05,30.6,32.0,59.4,0.025,105,134,10.2,6.4,57.1,16.0,45.8,0.877
WT100x13.5,0.131,1700,1.43,17.3,29.1,21.3,1.65,24.8,31.2,35.5,0.0151,104,133,8.4,5.8,57.9,17.1,45.9,0.862
WT100x11,0.11,1430,1.36,17.5,30.9,25.3,0.71,13.9,22.3,28.1,0.0102,103,102,8.0,6.2,67.0,21.3,43.6,0.761
WT100x9.5,0.0956,1240,1.22,16.0,31.3,26.1,0.577,11.3,21.6,18.0,0.0072,102,102,6.5,5.8,67.6,22.8,44.3,0.734
WT100x7.5,0.0733,955,0.885,11.7,30.5,24.1,0.434,8.69,21.4,8.75,0.003,100,100,5.2,4.3,66.7,21.5,43.0,0.75
WT75x18.5,0.182,2370,0.947,14.5,20.0,15.5,3.53,45.9,38.7,95.5,0.0459,81.0,154,11.6,8.1,21.0,9.68,44.6,0.953
WT75x15,0.146,1900,0.725,11.3,19.6,14.2,2.78,36.3,38.3,49.9,0.0232,78.5,153,9.3,6.6,19.9,9.51,44.0,0.953
WT75x11,0.109,1430,0.581,9.38,20.2,14.1,1.93,25.4,36.9,20.6,0.0091,76.0,152,6.6,5.8,20.1,10.8,43.4,0.938
WT75x12,0.117,1530,0.708,11.3,21.5,17.3,0.913,17.9,24.5,46.0,0.0114,80.0,102,10.3,6.6,42.0,12.1,34.8,0.878
WT75x9,0.0879,1140,0.544,9.16,21.8,17.1,0.629,12.3,23.5,18.3,0.0047,76.5,102,7.1,5.8,41.2,13.5,34.8,0.848
WT75x7,0.0665,865,0.395,6.68,21.4,15.8,0.459,9.18,23.0,8.35,0.002,75.0,100,5.5,4.3,41.2,13.0,34.0,0.853
WT65x14,0.138,1800,0.426,8.02,15.4,12.4,1.91,29.8,32.7,63.4,0.0208,65.5,128,10.9,6.9,13.8,6.96,36.8,0.964
WT65x12,0.116,1520,0.35,6.74,15.3,11.6,1.55,24.5,32.2,38.0,0.012,63.5,127,9.1,6.1,13.1,7.07,36.3,0.962
WT50x9.5,0.0951,1240,0.221,5.28,13.4,11.2,0.803,15.6,25.5,31.2,0.0063,53.0,103,8.8,7.1,12.1,6.8,29.6,0.947
